epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
64,1196.21,2.06343,1.19047,0.00241,0.66044,0.51014,0.56038,0.30264,1.99296,1.25269,0.00328,0.0015842,0.0015842,0.0015842
65,1214.96,2.06116,1.16892,0.00239,0.69029,0.50039,0.56338,0.30261,2.01138,1.2508,0.00328,0.0015776,0.0015776,0.0015776
66,1233.23,2.04612,1.182,0.00243,0.71022,0.49388,0.5656,0.30634,2.0036,1.23082,0.0033,0.001571,0.001571,0.001571
67,1251.53,2.02093,1.17704,0.00239,0.69405,0.50451,0.56882,0.30858,1.99141,1.21749,0.00326,0.0015644,0.0015644,0.0015644
68,1270.61,2.03557,1.15992,0.00241,0.68518,0.50044,0.56204,0.30763,1.98011,1.23383,0.00323,0.0015578,0.0015578,0.0015578
69,1289.52,2.04558,1.19407,0.00241,0.68462,0.493,0.55318,0.30415,1.98557,1.2344,0.00327,0.0015512,0.0015512,0.0015512
70,1308.11,2.05114,1.17587,0.00241,0.70747,0.48531,0.56334,0.30265,1.98773,1.22606,0.0032,0.0015446,0.0015446,0.0015446
71,1326.82,2.04914,1.1686,0.00239,0.68505,0.49914,0.56361,0.30729,1.95198,1.24476,0.00319,0.001538,0.001538,0.001538
72,1345.6,2.02804,1.15618,0.00237,0.69233,0.50401,0.56899,0.3122,1.9715,1.25252,0.0032,0.0015314,0.0015314,0.0015314
73,1364.51,2.00906,1.1462,0.00239,0.69865,0.50982,0.57476,0.31097,1.98339,1.25174,0.00323,0.0015248,0.0015248,0.0015248
74,1383.27,1.99665,1.14142,0.00236,0.70924,0.5062,0.57548,0.3151,1.97763,1.232,0.0032,0.0015182,0.0015182,0.0015182
75,1401.63,2.0389,1.15572,0.00238,0.68987,0.4916,0.55855,0.30554,1.98868,1.24801,0.00332,0.0015116,0.0015116,0.0015116
76,1420.06,2.04065,1.16634,0.00236,0.72163,0.49673,0.57167,0.30812,1.99243,1.26232,0.00329,0.001505,0.001505,0.001505
77,1438.42,2.06409,1.16781,0.00234,0.69732,0.49788,0.56569,0.30596,1.98298,1.24346,0.00322,0.0014984,0.0014984,0.0014984
78,1457.37,2.03362,1.14736,0.00237,0.6925,0.50686,0.57141,0.31188,1.98387,1.28767,0.00322,0.0014918,0.0014918,0.0014918
79,1475.8,2.00452,1.15081,0.00237,0.69315,0.49882,0.56732,0.30738,1.98285,1.24364,0.00324,0.0014852,0.0014852,0.0014852
80,1494.5,2.04453,1.16032,0.00235,0.69798,0.50118,0.56355,0.30834,2.00085,1.2463,0.00324,0.0014786,0.0014786,0.0014786
81,1513.48,2.03078,1.14668,0.00232,0.69823,0.50369,0.56696,0.31152,1.98255,1.21826,0.00322,0.001472,0.001472,0.001472
82,1532.08,2.00651,1.13496,0.00234,0.70744,0.49332,0.57062,0.31275,1.9898,1.21987,0.00328,0.0014654,0.0014654,0.0014654
83,1550.69,2.03338,1.13639,0.00231,0.69301,0.5109,0.57242,0.30732,1.99834,1.21081,0.00324,0.0014588,0.0014588,0.0014588
